id,debate_id,speaker,text,check_worthy,spans,error
2000100300015,20001003_gore_bush,BUSH,"Actually what I’ve said, Jim. I’ve said that eight years ago they campaigned on prescription drugs for seniors. And four years ago they campaigned on getting prescription drugs for seniors. And now they’re campaigning on getting prescription drugs for seniors. It seems like they can’t get it done. Now, they may blame other folks, but it’s time to get somebody in Washington who is going to work with both Republicans and Democrats to get some positive things done when it comes to our seniors. And so what I’ve said is that there’s been some missed opportunities. They’ve had a chance. They’ve had a chance to form consensus. I’ve got a plan on Medicare, for example, that’s a two-stage plan that says we’ll have immediate help for seniors and what I call immediate Helping Hand, a $48 billion program. But I also want to say to seniors, if you’re happy with Medicare the way it is, fine, you can stay in the program. But we’re going to give you additional choices like they give federal employees in the federal employee health plan. They have a variety of choices to choose, so should seniors. And my point has been, as opposed to politicizing an issue like Medicare, in other words, holding it up as an issue, hoping somebody bites it and try to clobber them over the head with it for political purposes, this year, in the year 2000, it’s time to get it done once and for all. That’s what I’ve been critical about the administration for. Same with Social Security. I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without. Those on Social Security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure there’s a Social Security system around tomorrow. There are a lot of young workers at our rallies we go to that when they hear I’ll trust them at their option to be able to manage, under certain guidelines, some of their own money to get a better rate of return so that they’ll have a retirement plan in the future, they begin to nod their heads and they want a different attitude in Washington.",True,"[{""start"": 45, ""end"": 259, ""text"": ""eight years ago they campaigned on prescription drugs for seniors. And four years ago they campaigned on getting prescription drugs for seniors. And now they’re campaigning on getting prescription drugs for seniors"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal"", ""stance/support"", ""medicine"", ""politics""]}, {""start"": 967, ""end"": 1077, ""text"": ""like they give federal employees in the federal employee health plan. They have a variety of choices to choose"", ""reason_text"": """", ""reason_choices"": [""vague quantitative"", ""medicine""]}]",
2000100300085,20001003_gore_bush,BUSH,"I agree our military is the strongest in the world today, that’s not the question. The question is will it be the strongest in the years to come? The warning signs are real. Everywhere I go on the campaign trail I see moms and dads whose son or daughter may wear the uniform and they tell me about how discouraged their son or daughter may be. A recent poll was taken among 1,000 enlisted personnel, as well as officers, over half of whom will leave the service when their time of enlistment is up. The captains are leaving the service. There is a problem. And it’s going to require a new commander in chief to rebuild the military power. The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me. They said even if we are the strongest if we don't do something if we don’t have a clear vision of the military, if we don’t stop extending our troops all around the world and nation building missions, then we’re going to have a serious problem coming down the road, and I’m going to prevent that. I’m going to rebuild our military power. It’s one of the major priorities of my administration.",True,"[{""start"": 344, ""end"": 497, ""text"": ""A recent poll was taken among 1,000 enlisted personnel, as well as officers, over half of whom will leave the service when their time of enlistment is up"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""statistic"", ""epistemic"", ""defense/military""]}, {""start"": 701, ""end"": 773, ""text"": ""General Norman Schwartzkopf recently stood by me side and agreed with me"", ""reason_text"": """", ""reason_choices"": [""attribution"", ""stance/support"", ""defense/military""]}]",
2000100300020,20001003_gore_bush,BUSH,"I cannot let this go by, the old-style Washington politics, of we’re going to scare you in the voting booth. Under my plan the man gets immediate help with prescription drugs. It’s called Immediate Helping Hand. Instead of squabbling and finger pointing, he gets immediate help. Let me say something.",False,[],
2000100300134,20001003_gore_bush,BUSH,I can’t let the man continue with fuzzy math. It is 1.3 trillion Mr. Vice President. It will go to everybody who pays taxes. I’m not going to be the kind of president that says you get tax relief and you don’t. I’m not going to be a picker and chooser. What is fair is everybody who pays taxes ought to get relief.,True,"[{""start"": 46, ""end"": 64, ""text"": ""It is 1.3 trillion"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""economy""]}]",
2000100300047,20001003_gore_bush,BUSH,"I don’t think a president can do that. I was disappointed in the ruling because I think abortions ought to be more rare in America, and I’m worried that that pill will create more abortions and cause more people to have abortions. This is a very important topic and it’s a very sensitive topic, because a lot of good people disagree on the issue. I think what the next president ought to do is to promote a culture of life in America. Life of the elderly and life of those living all across the country. Life of the unborn. As a matter of fact, I think a noble goal for this country is that every child, born or unborn, need to be protected by law and welcomed to life. I know we need to change a lot of minds before we get there in America. What I do believe is that we can find good, common ground on issues of parental consent or parental notification. I know we need to ban partial birth abortions. This is a place where my opponent and I have strong disagreement. I believe banning partial birth abortions would be a positive step to reducing the number of abortions in America. This is an issue that will require a new attitude. We’ve been battling over abortion for a long period of time. Surely this nation can come together to promote the value of life. Surely we can fight off these laws that will encourage doctors to — to allow doctors to take the lives of our seniors. Surely we can work together to create a cultural life so some of these youngsters who feel like they can take a neighbor’s life with a gun will understand that that’s not the way America is meant to be. Surely we can find common ground to reduce the number of abortions in America. As to the drug itself, I mentioned I was disappointed. I hope the FDA took its time to make sure that American women will be safe who use this drug.",True,"[{""start"": 153, ""end"": 229, ""text"": ""that pill will create more abortions and cause more people to have abortions"", ""reason_text"": """", ""reason_choices"": [""forecast/projection"", ""abortion""]}, {""start"": 878, ""end"": 901, ""text"": ""partial birth abortions"", ""reason_text"": """", ""reason_choices"": [""abortion""]}, {""start"": 987, ""end"": 1010, ""text"": ""partial birth abortions"", ""reason_text"": """", ""reason_choices"": [""abortion""]}, {""start"": 1287, ""end"": 1380, ""text"": ""these laws that will encourage doctors to — to allow doctors to take the lives of our seniors"", ""reason_text"": """", ""reason_choices"": [""medicine"", ""euthanasia""]}]",
2000100300051,20001003_gore_bush,BUSH,I don’t think a president can unilaterally overturn it. The FDA has made its decision.,False,[],
2000100300018,20001003_gore_bush,BUSH,"I guess my answer to that is the man is running on Medi-scare. Trying to frighten people in the voting booth. It’s just not the way I think and it’s not my intentions and not my plan. I want all seniors to have prescription drugs in Medicare. We need to reform Medicare. There's been opportunity to do so but this administration has failed to do it. And so seniors will have not only a Medicare plan where the poor seniors will have prescription drugs paid for, but there will be a variety of options. The current system today has meant a lot for a lot of seniors, and I really appreciate the intentions of the current system as I mentioned. If you’re happy with the system you can stay in it. But there are a lot of procedures that haven’t kept up in Medicare with the current times. No prescription drug benefits, no drug therapy, no preventative medicines, no vision care. We need to have a modern system to help seniors, and the idea of supporting a federally controlled 132,000-page document bureaucracy as being a compassionate way for seniors, and the only compassionate source of care for seniors is not my vision. I believe we ought to give seniors more options. I believe we ought to make the system work better. I know this. I know it will require a different kind of leader to go to Washington to say to both Republicans and Democrats, let’s come together. You’ve had your chance, Vice President, you’ve been there for eight years and nothing has been done. My point is, is that my plan not only trusts seniors with options, my plan sets aside $3.4 trillion for Medicare over the next ten years. My plan also says it requires a new approach in Washington, D.C. It’s going to require somebody who can work across the partisan divide.",True,"[{""start"": 785, ""end"": 874, ""text"": ""No prescription drug benefits, no drug therapy, no preventative medicines, no vision care"", ""reason_text"": """", ""reason_choices"": [""medicine""]}, {""start"": 952, ""end"": 1008, ""text"": ""a federally controlled 132,000-page document bureaucracy"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medicine"", ""politics""]}, {""start"": 1409, ""end"": 1468, ""text"": ""you’ve been there for eight years and nothing has been done"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal"", ""attribution"", ""medicine""]}, {""start"": 1537, ""end"": 1606, ""text"": ""my plan sets aside $3.4 trillion for Medicare over the next ten years"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""comparative/temporal"", ""stance/support"", ""medicine""]}]",
2000100300013,20001003_gore_bush,BUSH,I hope it's about wealthy people.,False,[],
2000100300055,20001003_gore_bush,BUSH,I said I would make sure that women would be safe who used the drug.,False,[],
2000100300053,20001003_gore_bush,BUSH,"I think once a decision has been made, it’s been made unless it’s proven to be unsafe to women.",False,[],
2000100300153,20001003_gore_bush,BUSH,"I think people need to be held responsible for the actions they take in life. I think that — well, I think that’s part of the need for a cultural change. We need to say we each need to be responsible for what we do. People in the highest office of the land must be responsible for decisions they make in life. And that’s the way I’ve conducted myself as Governor of Texas and that’s the way I’ll conduct myself as President of the United States, should I be fortunate enough to earn your vote.",False,[],
2000100300089,20001003_gore_bush,BUSH,"I think you’ve got to look at how one has handled responsibility in office. Whether or not it’s — the same in domestic policy as well. Whether or not you have the capacity to convince people to follow? Whether or not one makes decisions based on sound principles or whether or not you rely upon polls and focus groups on how to decide what the course of action is. We have too much polling and focus groups going on in Washington today. We need decisions made on sound principles. I’ve been the governor of a big state. I think one of the hallmarks of my relationship in Austin, Texas, is that I’ve had the capacity to work with both Republicans and Democrats. I think that’s an important part of leadership. I think what it means to build consensus. I’ve shown I know how to do so. Tonight in the audience there’s one elected state senator who is a Democrat, a former state-wide officer who is a Democrat, a lot of Democrats who are here in the debate to — because they want to show their support that shows I know how to lead. And so the fundamental answer to your question, who can lead and who’s shown the ability to get things done?",True,"[{""start"": 382, ""end"": 435, ""text"": ""polling and focus groups going on in Washington today"", ""reason_text"": """", ""reason_choices"": [""politics""]}]",
2000100300139,20001003_gore_bush,BUSH,"I thought it was interesting that on the two minutes he spent about a million-and-a-half on my plan, which means he doesn’t want you to know what he’s doing is loading up IOUs for future generations. He puts no real assets into the Social Security system. The revenues exceed the expenses in Social Security until the year 2015 which means all retirees are going to get the promises made. For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear. A promise made will be a promise kept. You bet we want to allow younger workers to take some of their own money. That’s the difference of opinion. The vice president thinks it’s the government’s money. The payroll taxes are your money. You ought to put it in prudent, safe investments so that $1 trillion over the next ten years grows to be $3 trillion. The money stays within the Social Security system. It’s a part of the Social Security system. He claims it will be out of Social Security. It’s your money, it’s a part of your retirement benefit. It’s a fundamental difference between what we believe. I want you to have your own asset that you can call your own. That you can pass on from one generation to the next. I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today. Mr. Greenspan I thought missed an opportunity to say there’s a third way, and that is to get a better rate of return on the Social Security monies coming into the trust. There is $2.3 trillion of surplus that we can use to make sure that younger workers have a Social Security plan in the future. If we’re smart and if we trust workers and if we understand the power of the compounding rate of interest.",True,"[{""start"": 256, ""end"": 327, ""text"": ""The revenues exceed the expenses in Social Security until the year 2015"", ""reason_text"": """", ""reason_choices"": [""forecast/projection"", ""economy""]}, {""start"": 1285, ""end"": 1337, ""text"": ""2% that the current Social Security Trust gets today"", ""reason_text"": """", ""reason_choices"": [""statistic"", ""economy""]}, {""start"": 1509, ""end"": 1542, ""text"": ""There is $2.3 trillion of surplus"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""economy""]}]",
2000100300160,20001003_gore_bush,BUSH,"I want people to hear what he just said. He is for full public financing of Congressional elections. I’m absolutely, adamently opposed to that. I don’t want the government financing congressional elections.",False,[],
2000100300158,20001003_gore_bush,BUSH,"I would support an effort to ban corporate soft money and labor union soft money so long as there was dues check-off. I’ve campaigned on this since the primaries. I believe there needs to be instant disclosure on the Internet as to who has given to who. I think we need to fully enforce the law. I think we need to have an attorney general that says if a law is broken, we’ll enforce it. Be strict and firm about it.",True,"[{""start"": 118, ""end"": 161, ""text"": ""I’ve campaigned on this since the primaries"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal"", ""attribution"", ""stance/support"", ""economy"", ""politics""]}]",
2000100300034,20001003_gore_bush,BUSH,"If we can get it done in the first year, you bet. Yours is phased in in eight years.",True,"[{""start"": 50, ""end"": 83, ""text"": ""Yours is phased in in eight years"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""attribution"", ""stance/support""]}]",
2000100300063,20001003_gore_bush,BUSH,It sounds like the vice president's not right very many times tonight. I just told you the criteria on which I’ll appoint judges. I have a record of appointing judges in the State of Texas. That’s what a governor gets to do. A governor gets to name supreme court judges. He also reads all kinds of things into my tax plan and into my Medicare plan. I want the viewers out there to listen to what I have to say about it.,True,"[{""start"": 130, ""end"": 188, ""text"": ""I have a record of appointing judges in the State of Texas"", ""reason_text"": """", ""reason_choices"": [""epistemic"", ""attribution"", ""politics""]}]",
